x,y,STATION_NAME,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,SPEED_MAX_GUST,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_MONTH,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST,LOCAL_DATE,MIN_REL_HUMIDITY,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,LOCAL_YEAR,LOCAL_DAY,TOTAL_RAIN_FLAG,MIN_REL_HUMIDITY_FLAG,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,ID,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN,SNOW_ON_GROUND,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG
-119.46666666666667,49.9,KELOWNA,,6.1,,,,,3,0,,1927-03-17 00:00:00,,0,,1123930,1.1,12.7,,16.9,1927,17,,,,BC,,,1123930.1927.3.17,,12.7,,-3.9,,
-119.46666666666667,49.9,KELOWNA,,9.4,,,,,3,0,,1927-03-18 00:00:00,,0,,1123930,2.8,0,,15.2,1927,18,,,,BC,,,1123930.1927.3.18,,0,,-3.9,,
-119.46666666666667,49.9,KELOWNA,,7.2,,,,,3,0,,1927-03-19 00:00:00,,0,,1123930,4.5,0,,13.5,1927,19,,,,BC,,,1123930.1927.3.19,,0,,1.7,,
-119.46666666666667,49.9,KELOWNA,,8.3,,,,,3,0,,1927-03-20 00:00:00,,0,,1123930,5.3,0,,12.7,1927,20,,,,BC,,,1123930.1927.3.20,,0,,2.2,,
-119.46666666666667,49.9,KELOWNA,,12.2,,,,,3,0,,1927-03-21 00:00:00,,0,,1123930,5.6,0,,12.4,1927,21,,,,BC,,,1123930.1927.3.21,,0,,-1.1,,
-119.46666666666667,49.9,KELOWNA,,11.7,,,,,3,0,,1927-03-22 00:00:00,,0,,1123930,7.5,0,,10.5,1927,22,,,,BC,,,1123930.1927.3.22,,0,,3.3,,
-119.46666666666667,49.9,KELOWNA,,11.1,,,,,3,0,,1927-03-23 00:00:00,,0,,1123930,4.5,0,,13.5,1927,23,,,,BC,,,1123930.1927.3.23,,0,,-2.2,,
-119.46666666666667,49.9,KELOWNA,,10.6,,,,,3,0,,1927-03-24 00:00:00,,0,,1123930,3.1,0,,14.9,1927,24,,,,BC,,,1123930.1927.3.24,,0,,-4.4,,
-119.46666666666667,49.9,KELOWNA,,8.9,,,,,3,0,,1927-03-25 00:00:00,,0,,1123930,4.2,0,,13.8,1927,25,,,,BC,,,1123930.1927.3.25,,0,,-0.6,,
-119.46666666666667,49.9,KELOWNA,,11.7,,,,,3,0,,1927-03-26 00:00:00,,0,,1123930,3.1,0,,14.9,1927,26,,,,BC,,,1123930.1927.3.26,,0,,-5.6,,
-119.46666666666667,49.9,KELOWNA,,8.9,,,,,3,0,,1927-03-27 00:00:00,,0,,1123930,2,0,,16,1927,27,,,,BC,,,1123930.1927.3.27,,0,,-5,,
-119.46666666666667,49.9,KELOWNA,,12.2,,,,,3,0,,1927-03-28 00:00:00,,0,,1123930,3.9,0,,14.1,1927,28,,,,BC,,,1123930.1927.3.28,,0,,-4.4,,
-119.46666666666667,49.9,KELOWNA,,11.1,,,,,3,0,,1927-03-29 00:00:00,,0,,1123930,5.6,0,,12.4,1927,29,,,,BC,,,1123930.1927.3.29,,0,,0,,
-119.46666666666667,49.9,KELOWNA,,8.9,,,,,3,0,,1927-03-30 00:00:00,,0,,1123930,3.6,0,,14.4,1927,30,,,,BC,,,1123930.1927.3.30,,0,,-1.7,,
-119.46666666666667,49.9,KELOWNA,,8.3,,,,,3,0,,1927-03-31 00:00:00,,0,,1123930,3.6,0,,14.4,1927,31,,,,BC,,,1123930.1927.3.31,,0,,-1.1,,
-119.46666666666667,49.9,KELOWNA,,12.8,,,,,4,0,,1927-04-01 00:00:00,,0,,1123930,4.2,0,,13.8,1927,1,,,,BC,,,1123930.1927.4.1,,0,,-4.4,,
-119.46666666666667,49.9,KELOWNA,,13.3,,,,,4,0,,1927-04-02 00:00:00,,0,,1123930,7.8,0,,10.2,1927,2,,,,BC,,,1123930.1927.4.2,,0,,2.2,,
-119.46666666666667,49.9,KELOWNA,,12.8,,,,,4,0,,1927-04-03 00:00:00,,0,,1123930,6.7,0,,11.3,1927,3,,,,BC,,,1123930.1927.4.3,,0,,0.6,,
-119.46666666666667,49.9,KELOWNA,,11.1,,,,,4,0,,1927-04-04 00:00:00,,0,,1123930,4.2,0,,13.8,1927,4,,,,BC,,,1123930.1927.4.4,,0,,-2.8,,
-119.46666666666667,49.9,KELOWNA,,11.1,,,,,4,0,,1927-04-05 00:00:00,,0,,1123930,5.6,0,,12.4,1927,5,,,,BC,,,1123930.1927.4.5,,0,,0,,
-119.46666666666667,49.9,KELOWNA,,10,,,,,4,0,,1927-04-06 00:00:00,,0,,1123930,6.1,3.3,,11.9,1927,6,,,,BC,,,1123930.1927.4.6,,3.3,,2.2,,
-119.46666666666667,49.9,KELOWNA,,8.9,,,,,4,0,,1927-04-07 00:00:00,,0,,1123930,3.1,0,,14.9,1927,7,,,,BC,,,1123930.1927.4.7,,0,,-2.8,,
-119.46666666666667,49.9,KELOWNA,,10,,,,,4,0,,1927-04-08 00:00:00,,2.5,,1123930,3.1,2.5,,14.9,1927,8,,,,BC,,,1123930.1927.4.8,,0,,-3.9,,
-119.46666666666667,49.9,KELOWNA,,12.8,,,,,4,0,,1927-04-09 00:00:00,,0,,1123930,4.5,0,,13.5,1927,9,,,,BC,,,1123930.1927.4.9,,0,,-3.9,,
-119.46666666666667,49.9,KELOWNA,,13.9,,,,,4,0,,1927-04-10 00:00:00,,0,,1123930,4.8,0,,13.2,1927,10,,,,BC,,,1123930.1927.4.10,,0,,-4.4,,
-119.46666666666667,49.9,KELOWNA,,16.1,,,,,4,0,,1927-04-11 00:00:00,,0,,1123930,6.4,0,,11.6,1927,11,,,,BC,,,1123930.1927.4.11,,0,,-3.3,,
-119.46666666666667,49.9,KELOWNA,,15,,,,,4,0,,1927-04-12 00:00:00,,0,,1123930,5.3,0,,12.7,1927,12,,,,BC,,,1123930.1927.4.12,,0,,-4.4,,
-119.46666666666667,49.9,KELOWNA,,15.6,,,,,4,0,,1927-04-13 00:00:00,,0,,1123930,7,0,,11,1927,13,,,,BC,,,1123930.1927.4.13,,0,,-1.7,,
-119.46666666666667,49.9,KELOWNA,,16.1,,,,,4,0,,1927-04-14 00:00:00,,0,,1123930,10.9,0,,7.1,1927,14,,,,BC,,,1123930.1927.4.14,,0,,5.6,,
-119.46666666666667,49.9,KELOWNA,,14.4,,,,,4,0,,1927-04-15 00:00:00,,0,,1123930,8.1,0,,9.9,1927,15,,,,BC,,,1123930.1927.4.15,,0,,1.7,,
-119.46666666666667,49.9,KELOWNA,,13.9,,,,,4,0,,1927-04-16 00:00:00,,0,,1123930,10.6,0,,7.4,1927,16,,,,BC,,,1123930.1927.4.16,,0,,7.2,,
-119.46666666666667,49.9,KELOWNA,,13.3,,,,,4,0,,1927-04-17 00:00:00,,0,,1123930,7,0,,11,1927,17,,,,BC,,,1123930.1927.4.17,,0,,0.6,,
-119.46666666666667,49.9,KELOWNA,,6.1,,,,,4,0,,1927-04-18 00:00:00,,0,,1123930,0.6,0,,17.4,1927,18,,,,BC,,,1123930.1927.4.18,,0,,-5,,
-119.46666666666667,49.9,KELOWNA,,5.6,,,,,4,0,,1927-04-19 00:00:00,,0,,1123930,-0.6,0,,18.6,1927,19,,,,BC,,,1123930.1927.4.19,,0,,-6.7,,
-119.46666666666667,49.9,KELOWNA,,11.7,,,,,4,0,,1927-04-20 00:00:00,,0,,1123930,3.4,0,,14.6,1927,20,,,,BC,,,1123930.1927.4.20,,0,,-5,,
-119.46666666666667,49.9,KELOWNA,,12.2,,,,,4,0,,1927-04-21 00:00:00,,0,,1123930,7.5,0,,10.5,1927,21,,,,BC,,,1123930.1927.4.21,,0,,2.8,,
-119.46666666666667,49.9,KELOWNA,,16.1,,,,,4,0,,1927-04-22 00:00:00,,0,,1123930,10.6,0,,7.4,1927,22,,,,BC,,,1123930.1927.4.22,,0,,5,,
-119.46666666666667,49.9,KELOWNA,,15.6,,,,,4,0,,1927-04-23 00:00:00,,0,,1123930,8.7,0,,9.3,1927,23,,,,BC,,,1123930.1927.4.23,,0,,1.7,,
-119.46666666666667,49.9,KELOWNA,,21.1,,,,,4,0,,1927-04-24 00:00:00,,0,,1123930,14.2,0,,3.8,1927,24,,,,BC,,,1123930.1927.4.24,,0,,7.2,,
-119.46666666666667,49.9,KELOWNA,,22.8,,,,,4,0,,1927-04-25 00:00:00,,0,,1123930,15,0,,3,1927,25,,,,BC,,,1123930.1927.4.25,,0,,7.2,,
-119.46666666666667,49.9,KELOWNA,,18.3,,,,,4,0,,1927-04-26 00:00:00,,0,,1123930,12.5,0,,5.5,1927,26,,,,BC,,,1123930.1927.4.26,,0,,6.7,,
-119.46666666666667,49.9,KELOWNA,,17.8,,,,,4,0,,1927-04-27 00:00:00,,0,,1123930,8.9,0,,9.1,1927,27,,,,BC,,,1123930.1927.4.27,,0,,0,,
-119.46666666666667,49.9,KELOWNA,,14.4,,,,,4,0,,1927-04-28 00:00:00,,0,,1123930,7.5,0,,10.5,1927,28,,,,BC,,,1123930.1927.4.28,,0,,0.6,,
-119.46666666666667,49.9,KELOWNA,,12.8,,,,,4,0,,1927-04-29 00:00:00,,0,,1123930,4.5,0,,13.5,1927,29,,,,BC,,,1123930.1927.4.29,,0,,-3.9,,
-119.46666666666667,49.9,KELOWNA,,12.8,,,,,4,0,,1927-04-30 00:00:00,,0,,1123930,7,0,,11,1927,30,,,,BC,,,1123930.1927.4.30,,0,,1.1,,
-119.46666666666667,49.9,KELOWNA,,8.9,,,,,5,0,,1927-05-01 00:00:00,,0,,1123930,4.8,0,,13.2,1927,1,,,,BC,,,1123930.1927.5.1,,0,,0.6,,
-119.46666666666667,49.9,KELOWNA,,18.3,,,,,5,0,,1927-05-02 00:00:00,,0,,1123930,12.8,0,,5.2,1927,2,,,,BC,,,1123930.1927.5.2,,0,,7.2,,
-119.46666666666667,49.9,KELOWNA,,11.1,,,,,5,0,,1927-05-03 00:00:00,,0,,1123930,6.7,4.6,,11.3,1927,3,,,,BC,,,1123930.1927.5.3,,4.6,,2.2,,
-119.46666666666667,49.9,KELOWNA,,8.3,,,,,5,0,,1927-05-04 00:00:00,,0,,1123930,4.2,0,,13.8,1927,4,,,,BC,,,1123930.1927.5.4,,0,,0,,
-119.46666666666667,49.9,KELOWNA,,14.4,,,,,5,0,,1927-05-05 00:00:00,,0,,1123930,8.3,0.5,,9.7,1927,5,,,,BC,,,1123930.1927.5.5,,0.5,,2.2,,
-119.46666666666667,49.9,KELOWNA,,15,,,,,5,0,,1927-05-06 00:00:00,,0,,1123930,7.5,0,,10.5,1927,6,,,,BC,,,1123930.1927.5.6,,0,,0,,
-119.46666666666667,49.9,KELOWNA,,19.4,,,,,5,0,,1927-05-07 00:00:00,,0,,1123930,9.2,0,,8.8,1927,7,,,,BC,,,1123930.1927.5.7,,0,,-1.1,,
-119.46666666666667,49.9,KELOWNA,,19.4,,,,,5,0,,1927-05-08 00:00:00,,0,,1123930,11.9,0,,6.1,1927,8,,,,BC,,,1123930.1927.5.8,,0,,4.4,,
-119.46666666666667,49.9,KELOWNA,,20,,,,,5,0,,1927-05-09 00:00:00,,0,,1123930,11.1,0,,6.9,1927,9,,,,BC,,,1123930.1927.5.9,,0,,2.2,,
-119.46666666666667,49.9,KELOWNA,,18.3,,,,,5,0,,1927-05-10 00:00:00,,0,,1123930,9.5,0,,8.5,1927,10,,,,BC,,,1123930.1927.5.10,,0,,0.6,,
-119.46666666666667,49.9,KELOWNA,,15.6,,,,,5,0,,1927-05-11 00:00:00,,0,,1123930,10,0,,8,1927,11,,,,BC,,,1123930.1927.5.11,,0,,4.4,,
-119.46666666666667,49.9,KELOWNA,,20,,,,,5,0,,1927-05-12 00:00:00,,0,,1123930,12,0,,6,1927,12,,,,BC,,,1123930.1927.5.12,,0,,3.9,,
-119.46666666666667,49.9,KELOWNA,,21.1,,,,,5,0,,1927-05-13 00:00:00,,0,,1123930,12.5,0,,5.5,1927,13,,,,BC,,,1123930.1927.5.13,,0,,3.9,,
-119.46666666666667,49.9,KELOWNA,,22.8,,,,,5,0,,1927-05-14 00:00:00,,0,,1123930,16.4,0,,1.6,1927,14,,,,BC,,,1123930.1927.5.14,,0,,10,,
-119.46666666666667,49.9,KELOWNA,,23.9,,,,,5,0,,1927-05-15 00:00:00,,0,,1123930,15.6,0,,2.4,1927,15,,,,BC,,,1123930.1927.5.15,,0,,7.2,,
-119.46666666666667,49.9,KELOWNA,,18.9,,,,,5,0,,1927-05-16 00:00:00,,0,,1123930,13.1,0,,4.9,1927,16,,,,BC,,,1123930.1927.5.16,,0,,7.2,,
-119.46666666666667,49.9,KELOWNA,,11.7,,,,,5,0,,1927-05-17 00:00:00,,0,,1123930,9.5,8.4,,8.5,1927,17,,,,BC,,,1123930.1927.5.17,,8.4,,7.2,,
-119.46666666666667,49.9,KELOWNA,,10,,,,,5,0,,1927-05-18 00:00:00,,0,,1123930,7.2,4.1,,10.8,1927,18,,,,BC,,,1123930.1927.5.18,,4.1,,4.4,,
-119.46666666666667,49.9,KELOWNA,,12.8,,,,,5,0,,1927-05-19 00:00:00,,0,,1123930,9.5,0.5,,8.5,1927,19,,,,BC,,,1123930.1927.5.19,,0.5,,6.1,,
-119.46666666666667,49.9,KELOWNA,,17.2,,,,,5,0,,1927-05-20 00:00:00,,0,,1123930,12.5,2.5,,5.5,1927,20,,,,BC,,,1123930.1927.5.20,,2.5,,7.8,,
-119.46666666666667,49.9,KELOWNA,,23.9,,,,,5,0,,1927-05-21 00:00:00,,0,,1123930,14.8,0,,3.2,1927,21,,,,BC,,,1123930.1927.5.21,,0,,5.6,,
-119.46666666666667,49.9,KELOWNA,,22.8,,,,,5,0,,1927-05-22 00:00:00,,0,,1123930,14.2,0,,3.8,1927,22,,,,BC,,,1123930.1927.5.22,,0,,5.6,,
-119.46666666666667,49.9,KELOWNA,,18.9,,,,,5,0,,1927-05-23 00:00:00,,0,,1123930,14.5,0,,3.5,1927,23,,,,BC,,,1123930.1927.5.23,,0,,10,,
-119.46666666666667,49.9,KELOWNA,,20.6,,,,,5,0,,1927-05-24 00:00:00,,0,,1123930,12.3,0,,5.7,1927,24,,,,BC,,,1123930.1927.5.24,,0,,3.9,,
-119.46666666666667,49.9,KELOWNA,,15,,,,,5,0,,1927-05-25 00:00:00,,0,,1123930,7.2,0,,10.8,1927,25,,,,BC,,,1123930.1927.5.25,,0,,-0.6,,
-119.46666666666667,49.9,KELOWNA,,16.7,,,,,5,0,,1927-05-26 00:00:00,,0,,1123930,10.6,0,,7.4,1927,26,,,,BC,,,1123930.1927.5.26,,0,,4.4,,
-119.46666666666667,49.9,KELOWNA,,18.3,,,,,5,0,,1927-05-27 00:00:00,,0,,1123930,10.8,0,,7.2,1927,27,,,,BC,,,1123930.1927.5.27,,0,,3.3,,
-119.46666666666667,49.9,KELOWNA,,17.8,,,,,5,0,,1927-05-28 00:00:00,,0,,1123930,12.5,0,,5.5,1927,28,,,,BC,,,1123930.1927.5.28,,0,,7.2,,
-119.46666666666667,49.9,KELOWNA,,23.9,,,,,5,0,,1927-05-29 00:00:00,,0,,1123930,15.6,0,,2.4,1927,29,,,,BC,,,1123930.1927.5.29,,0,,7.2,,
-119.46666666666667,49.9,KELOWNA,,18.9,,,,,5,0,,1927-05-30 00:00:00,,0,,1123930,12,0,,6,1927,30,,,,BC,,,1123930.1927.5.30,,0,,5,,
-119.46666666666667,49.9,KELOWNA,,22.2,,,,,5,0,,1927-05-31 00:00:00,,0,,1123930,14.7,0,,3.3,1927,31,,,,BC,,,1123930.1927.5.31,,0,,7.2,,
-119.46666666666667,49.9,KELOWNA,,22.2,,,,,6,0,,1927-06-01 00:00:00,,0,,1123930,14.7,0,,3.3,1927,1,,,,BC,,,1123930.1927.6.1,,0,,7.2,,
-119.46666666666667,49.9,KELOWNA,,22.2,,,,,6,0,,1927-06-02 00:00:00,,0,,1123930,14.7,0,,3.3,1927,2,,,,BC,,,1123930.1927.6.2,,0,,7.2,,
-119.46666666666667,49.9,KELOWNA,,22.8,,,,,6,0,,1927-06-03 00:00:00,,0,,1123930,15,0,,3,1927,3,,,,BC,,,1123930.1927.6.3,,0,,7.2,,
-119.46666666666667,49.9,KELOWNA,,24.4,,,,,6,0,,1927-06-04 00:00:00,,0,,1123930,16.1,0,,1.9,1927,4,,,,BC,,,1123930.1927.6.4,,0,,7.8,,
-119.46666666666667,49.9,KELOWNA,,27.8,,,,,6,0.6,,1927-06-05 00:00:00,,0,,1123930,18.6,0,,0,1927,5,,,,BC,,,1123930.1927.6.5,,0,,9.4,,
-119.46666666666667,49.9,KELOWNA,,25.6,,,,,6,0.4,,1927-06-06 00:00:00,,0,,1123930,18.4,0,,0,1927,6,,,,BC,,,1123930.1927.6.6,,0,,11.1,,
-119.46666666666667,49.9,KELOWNA,,27.2,,,,,6,2.8,,1927-06-07 00:00:00,,0,,1123930,20.8,0,,0,1927,7,,,,BC,,,1123930.1927.6.7,,0,,14.4,,
-119.46666666666667,49.9,KELOWNA,,18.9,,,,,6,0,,1927-06-08 00:00:00,,0,,1123930,17,2.3,,1,1927,8,,,,BC,,,1123930.1927.6.8,,2.3,,15,,
-119.46666666666667,49.9,KELOWNA,,22.8,,,,,6,0,,1927-06-09 00:00:00,,0,,1123930,16.4,0,,1.6,1927,9,,,,BC,,,1123930.1927.6.9,,0,,10,,
-119.46666666666667,49.9,KELOWNA,,22.8,,,,,6,0,,1927-06-10 00:00:00,,0,,1123930,12.8,0,,5.2,1927,10,,,,BC,,,1123930.1927.6.10,,0,,2.8,,
-119.46666666666667,49.9,KELOWNA,,22.8,,,,,6,0,,1927-06-11 00:00:00,,0,,1123930,16.4,1.3,,1.6,1927,11,,,,BC,,,1123930.1927.6.11,,1.3,,10,,
-119.46666666666667,49.9,KELOWNA,,25.6,,,,,6,1.5,,1927-06-12 00:00:00,,0,,1123930,19.5,0,,0,1927,12,,,,BC,,,1123930.1927.6.12,,0,,13.3,,
-119.46666666666667,49.9,KELOWNA,,21.7,,,,,6,0,,1927-06-13 00:00:00,,0,,1123930,16.7,5.1,,1.3,1927,13,,,,BC,,,1123930.1927.6.13,,5.1,,11.7,,
-119.46666666666667,49.9,KELOWNA,,26.1,,,,,6,0,,1927-06-14 00:00:00,,0,,1123930,17,0,,1,1927,14,,,,BC,,,1123930.1927.6.14,,0,,7.8,,
-119.46666666666667,49.9,KELOWNA,,24.4,,,,,6,0.3,,1927-06-15 00:00:00,,0,,1123930,18.3,0,,0,1927,15,,,,BC,,,1123930.1927.6.15,,0,,12.2,,
-119.46666666666667,49.9,KELOWNA,,26.7,,,,,6,2.6,,1927-06-16 00:00:00,,0,,1123930,20.6,0,,0,1927,16,,,,BC,,,1123930.1927.6.16,,0,,14.4,,
-119.46666666666667,49.9,KELOWNA,,24.4,,,,,6,0,,1927-06-17 00:00:00,,0,,1123930,16.4,0,,1.6,1927,17,,,,BC,,,1123930.1927.6.17,,0,,8.3,,
-119.46666666666667,49.9,KELOWNA,,23.9,,,,,6,0,,1927-06-18 00:00:00,,0,,1123930,17,0,,1,1927,18,,,,BC,,,1123930.1927.6.18,,0,,10,,
-119.46666666666667,49.9,KELOWNA,,26.1,,,,,6,0,,1927-06-19 00:00:00,,0,,1123930,17,0,,1,1927,19,,,,BC,,,1123930.1927.6.19,,0,,7.8,,
-119.46666666666667,49.9,KELOWNA,,26.7,,,,,6,0,,1927-06-20 00:00:00,,0,,1123930,17.8,0,,0.2,1927,20,,,,BC,,,1123930.1927.6.20,,0,,8.9,,
-119.46666666666667,49.9,KELOWNA,,28.9,,,,,6,4.5,,1927-06-21 00:00:00,,0,,1123930,22.5,1.3,,0,1927,21,,,,BC,,,1123930.1927.6.21,,1.3,,16.1,,
-119.46666666666667,49.9,KELOWNA,,25.6,,,,,6,0,,1927-06-22 00:00:00,,0,,1123930,16.7,0,,1.3,1927,22,,,,BC,,,1123930.1927.6.22,,0,,7.8,,
-119.46666666666667,49.9,KELOWNA,,26.7,,,,,6,0.4,,1927-06-23 00:00:00,,0,,1123930,18.4,10.9,,0,1927,23,,,,BC,,,1123930.1927.6.23,,10.9,,10,,
-119.46666666666667,49.9,KELOWNA,,22.2,,,,,6,0,,1927-06-24 00:00:00,,0,,1123930,17.2,0,,0.8,1927,24,,,,BC,,,1123930.1927.6.24,,0,,12.2,,
-119.46666666666667,49.9,KELOWNA,,27.2,,,,,6,1.7,,1927-06-25 00:00:00,,0,,1123930,19.7,0,,0,1927,25,,,,BC,,,1123930.1927.6.25,,0,,12.2,,
-119.46666666666667,49.9,KELOWNA,,26.1,,,,,6,1.7,,1927-06-26 00:00:00,,0,,1123930,19.7,0,,0,1927,26,,,,BC,,,1123930.1927.6.26,,0,,13.3,,
-119.46666666666667,49.9,KELOWNA,,22.2,,,,,6,0.9,,1927-06-27 00:00:00,,0,,1123930,18.9,1.5,,0,1927,27,,,,BC,,,1123930.1927.6.27,,1.5,,15.6,,
-119.46666666666667,49.9,KELOWNA,,25.6,,,,,6,1.8,,1927-06-28 00:00:00,,0,,1123930,19.8,0,,0,1927,28,,,,BC,,,1123930.1927.6.28,,0,,13.9,,
-119.46666666666667,49.9,KELOWNA,,16.7,,,,,6,0,,1927-06-29 00:00:00,,0,,1123930,10.3,2,,7.7,1927,29,,,,BC,,,1123930.1927.6.29,,2,,3.9,,
-119.46666666666667,49.9,KELOWNA,,22.8,,,,,6,0,,1927-06-30 00:00:00,,0,,1123930,16.1,0,,1.9,1927,30,,,,BC,,,1123930.1927.6.30,,0,,9.4,,
-119.46666666666667,49.9,KELOWNA,,23.3,,,,,7,0,,1927-07-01 00:00:00,,0,,1123930,16.7,0,,1.3,1927,1,,,,BC,,,1123930.1927.7.1,,0,,10,,
-119.46666666666667,49.9,KELOWNA,,23.3,,,,,7,0.3,,1927-07-02 00:00:00,,0,,1123930,18.3,0,,0,1927,2,,,,BC,,,1123930.1927.7.2,,0,,13.3,,
-119.46666666666667,49.9,KELOWNA,,23.3,,,,,7,0,,1927-07-03 00:00:00,,0,,1123930,17.5,5.3,,0.5,1927,3,,,,BC,,,1123930.1927.7.3,,5.3,,11.7,,
-119.46666666666667,49.9,KELOWNA,,21.7,,,,,7,0,,1927-07-04 00:00:00,,0,,1123930,16.7,1.5,,1.3,1927,4,,,,BC,,,1123930.1927.7.4,,1.5,,11.7,,
-119.46666666666667,49.9,KELOWNA,,22.8,,,,,7,0,,1927-07-05 00:00:00,,0,,1123930,15.3,0,,2.7,1927,5,,,,BC,,,1123930.1927.7.5,,0,,7.8,,
-119.46666666666667,49.9,KELOWNA,,26.1,,,,,7,1.2,,1927-07-06 00:00:00,,0,,1123930,19.2,0,,0,1927,6,,,,BC,,,1123930.1927.7.6,,0,,12.2,,
-119.46666666666667,49.9,KELOWNA,,26.7,,,,,7,1.2,,1927-07-07 00:00:00,,0,,1123930,19.2,0,,0,1927,7,,,,BC,,,1123930.1927.7.7,,0,,11.7,,
-119.46666666666667,49.9,KELOWNA,,27.2,,,,,7,2.3,,1927-07-08 00:00:00,,0,,1123930,20.3,0,,0,1927,8,,,,BC,,,1123930.1927.7.8,,0,,13.3,,
-119.46666666666667,49.9,KELOWNA,,23.3,,,,,7,0,,1927-07-09 00:00:00,,0,,1123930,14.2,0,,3.8,1927,9,,,,BC,,,1123930.1927.7.9,,0,,5,,
-119.46666666666667,49.9,KELOWNA,,25,,,,,7,1.2,,1927-07-10 00:00:00,,0,,1123930,19.2,0,,0,1927,10,,,,BC,,,1123930.1927.7.10,,0,,13.3,,
-119.46666666666667,49.9,KELOWNA,,23.3,,,,,7,0,,1927-07-11 00:00:00,,0,,1123930,16.1,0,,1.9,1927,11,,,,BC,,,1123930.1927.7.11,,0,,8.9,,
-119.46666666666667,49.9,KELOWNA,,26.7,,,,,7,0.4,,1927-07-12 00:00:00,,0,,1123930,18.4,0,,0,1927,12,,,,BC,,,1123930.1927.7.12,,0,,10,,
-119.46666666666667,49.9,KELOWNA,,26.7,,,,,7,4.8,,1927-07-13 00:00:00,,0,,1123930,22.8,0,,0,1927,13,,,,BC,,,1123930.1927.7.13,,0,,18.9,,
-119.46666666666667,49.9,KELOWNA,,18.9,,,,,7,0,,1927-07-14 00:00:00,,0,,1123930,15.9,0,,2.1,1927,14,,,,BC,,,1123930.1927.7.14,,0,,12.8,,
-119.46666666666667,49.9,KELOWNA,,27.8,,,,,7,1.2,,1927-07-15 00:00:00,,0,,1123930,19.2,0,,0,1927,15,,,,BC,,,1123930.1927.7.15,,0,,10.6,,
-119.46666666666667,49.9,KELOWNA,,31.1,,,,,7,3.4,,1927-07-16 00:00:00,,0,,1123930,21.4,0,,0,1927,16,,,,BC,,,1123930.1927.7.16,,0,,11.7,,
-119.46666666666667,49.9,KELOWNA,,32.8,,,,,7,3.7,,1927-07-17 00:00:00,,0,,1123930,21.7,1.5,,0,1927,17,,,,BC,,,1123930.1927.7.17,,1.5,,10.6,,
-119.46666666666667,49.9,KELOWNA,,31.1,,,,,7,2.9,,1927-07-18 00:00:00,,0,,1123930,20.9,0,,0,1927,18,,,,BC,,,1123930.1927.7.18,,0,,10.6,,
-119.46666666666667,49.9,KELOWNA,,31.7,,,,,7,3.2,,1927-07-19 00:00:00,,0,,1123930,21.2,0,,0,1927,19,,,,BC,,,1123930.1927.7.19,,0,,10.6,,
-119.46666666666667,49.9,KELOWNA,,30.6,,,,,7,2.9,,1927-07-20 00:00:00,,0,,1123930,20.9,0,,0,1927,20,,,,BC,,,1123930.1927.7.20,,0,,11.1,,
-119.46666666666667,49.9,KELOWNA,,33.3,,,,,7,3.7,,1927-07-21 00:00:00,,0,,1123930,21.7,0,,0,1927,21,,,,BC,,,1123930.1927.7.21,,0,,10,,
-119.46666666666667,49.9,KELOWNA,,33.3,,,,,7,5.3,,1927-07-22 00:00:00,,0,,1123930,23.3,0,,0,1927,22,,,,BC,,,1123930.1927.7.22,,0,,13.3,,
-119.46666666666667,49.9,KELOWNA,,32.2,,,,,7,5.1,,1927-07-23 00:00:00,,0,,1123930,23.1,0,,0,1927,23,,,,BC,,,1123930.1927.7.23,,0,,13.9,,
-119.46666666666667,49.9,KELOWNA,,32.2,,,,,7,9.5,,1927-07-24 00:00:00,,0,,1123930,27.5,0,,0,1927,24,,,,BC,,,1123930.1927.7.24,,0,,22.8,,
-119.46666666666667,49.9,KELOWNA,,32.8,,,,,7,4.5,,1927-07-25 00:00:00,,0,,1123930,22.5,0,,0,1927,25,,,,BC,,,1123930.1927.7.25,,0,,12.2,,
-119.46666666666667,49.9,KELOWNA,,32.2,,,,,7,3.4,,1927-07-26 00:00:00,,0,,1123930,21.4,0,,0,1927,26,,,,BC,,,1123930.1927.7.26,,0,,10.6,,
-119.46666666666667,49.9,KELOWNA,,26.7,,,,,7,0.7,,1927-07-27 00:00:00,,0,,1123930,18.7,0,,0,1927,27,,,,BC,,,1123930.1927.7.27,,0,,10.6,,
-119.46666666666667,49.9,KELOWNA,,27.2,,,,,7,0.9,,1927-07-28 00:00:00,,0,,1123930,18.9,0,,0,1927,28,,,,BC,,,1123930.1927.7.28,,0,,10.6,,
-119.46666666666667,49.9,KELOWNA,,28.9,,,,,7,2.3,,1927-07-29 00:00:00,,0,,1123930,20.3,0,,0,1927,29,,,,BC,,,1123930.1927.7.29,,0,,11.7,,
